DATE,21 YR,22 YR
2/26/2010,1.995,2.01
3/31/2010,2.007,2.024
4/30/2010,1.697,1.714
5/28/2010,1.749,1.758
6/30/2010,1.647,1.654
7/30/2010,1.76,1.77
8/31/2010,1.519,1.528
9/30/2010,1.522,1.534
10/29/2010,1.284,1.298
11/30/2010,1.506,1.522
12/31/2010,1.617,1.644
1/31/2011,1.818,1.846
2/28/2011,1.69,1.72
3/31/2011,1.61,1.64
4/29/2011,1.479,1.508
5/31/2011,1.539,1.568
6/30/2011,1.498,1.526
7/29/2011,1.165,1.19
8/31/2011,0.865,0.9
9/30/2011,0.75,0.78
10/31/2011,0.634,0.658
11/30/2011,0.613,0.636
12/30/2011,0.555,0.58
1/31/2012,0.394,0.418
2/29/2012,0.424,0.458
3/30/2012,0.642,0.674
4/30/2012,0.507,0.534
5/31/2012,0.177,0.214
6/29/2012,0.191,0.232
7/31/2012,-0.049,-0.008
8/31/2012,0.041,0.082
9/28/2012,0.034,0.078
10/31/2012,-0.028,0.014
11/30/2012,0.025,0.06
12/31/2012,0.176,0.202
1/31/2013,0.251,0.282
2/28/2013,0.163,0.206
3/28/2013,0.205,0.25
4/30/2013,0.091,0.132
5/31/2013,0.664,0.698
6/28/2013,1.139,1.158
7/31/2013,1.049,1.078
8/30/2013,1.235,1.26
9/30/2013,1.092,1.124
10/31/2013,1.061,1.092
11/29/2013,1.26,1.29
12/31/2013,1.388,1.416
1/31/2014,1.096,1.122
2/28/2014,1.059,1.088
3/31/2014,1.065,1.09
4/30/2014,0.944,0.968
5/30/2014,0.768,0.796
6/30/2014,0.765,0.79
7/31/2014,0.735,0.76
8/29/2014,0.633,0.656
9/30/2014,0.911,0.932
10/31/2014,0.801,0.822
11/28/2014,0.731,0.752
12/31/2014,0.695,0.71
1/30/2015,0.322,0.344
2/27/2015,0.464,0.488
3/31/2015,0.51,0.53
4/30/2015,0.504,0.528
5/29/2015,0.725,0.75
6/30/2015,0.903,0.926
7/31/2015,0.833,0.856
8/31/2015,0.952,0.974
9/30/2015,1.074,1.098
10/30/2015,1.001,1.022
11/30/2015,0.983,1.006
12/31/2015,1.091,1.112
1/29/2016,0.972,0.994
2/29/2016,0.748,0.776
3/31/2016,0.596,0.622
4/29/2016,0.586,0.612
5/31/2016,0.757,0.774
6/30/2016,0.547,0.564
7/29/2016,0.353,0.376
8/31/2016,0.418,0.436
9/30/2016,0.401,0.422
10/31/2016,0.529,0.548
11/30/2016,0.766,0.782
12/30/2016,0.837,0.854
1/31/2017,0.759,0.778
2/28/2017,0.681,0.702
3/31/2017,0.76,0.78
4/28/2017,0.729,0.748
5/31/2017,0.749,0.768
6/30/2017,0.855,0.87
7/31/2017,0.82,0.84
8/31/2017,0.69,0.71
9/29/2017,0.787,0.804
10/31/2017,0.785,0.8
11/30/2017,0.772,0.784
12/29/2017,0.622,0.634
1/31/2018,0.728,0.736
2/28/2018,0.909,0.918
3/29/2018,0.819,0.828
4/30/2018,0.865,0.87
5/31/2018,0.847,0.854
6/29/2018,0.816,0.822
7/31/2018,0.886,0.892
8/31/2018,0.856,0.862
9/28/2018,0.977,0.984
10/31/2018,1.22,1.23
11/30/2018,1.161,1.172
12/31/2018,1.102,1.114
1/31/2019,0.954,0.968
2/28/2019,0.975,0.99
3/29/2019,0.737,0.754
4/30/2019,0.787,0.804
5/31/2019,0.596,0.612
6/28/2019,0.573,0.596
7/31/2019,0.495,0.52
8/30/2019,0.179,0.198
9/30/2019,0.359,0.378
10/31/2019,0.388,0.406
11/29/2019,0.365,0.38
12/31/2019,0.409,0.428
1/31/2020,0.107,0.124
2/28/2020,0.024,0.048
3/31/2020,0.016,0.032
4/30/2020,-0.255,-0.24
5/29/2020,-0.25,-0.23
6/30/2020,-0.357,-0.334
7/31/2020,-0.666,-0.642
8/31/2020,-0.611,-0.582
9/30/2020,-0.518,-0.496
10/30/2020,-0.401,-0.382
11/30/2020,-0.53,-0.51
12/31/2020,-0.586,-0.562
1/29/2021,-0.495,-0.47
2/26/2021,-0.156,-0.132
3/31/2021,-0.106,-0.082
4/30/2021,-0.214,-0.188
5/28/2021,-0.276,-0.252
6/30/2021,-0.38,-0.36
7/30/2021,-0.593,-0.566
8/31/2021,-0.516,-0.492
9/30/2021,-0.37,-0.35
10/29/2021,-0.489,-0.468
11/30/2021,-0.672,-0.654
12/31/2021,-0.611,-0.592
1/31/2022,-0.273,-0.256
2/28/2022,-0.317,-0.294
3/31/2022,-0.183,-0.166
4/29/2022,0.283,0.296
5/31/2022,0.526,0.542
6/30/2022,0.829,0.838
7/29/2022,0.494,0.518
